Loading Time (s),Add Note Time (s),Edit Note Time (s),Delete Note Time (s),Number of Loops
0.47623205184936523,0.64410400390625,0.07916021347045898,1.590890884399414,1
1.2313883304595947,1.097858190536499,0.0532987117767334,1.067063808441162,2
1.6604735851287842,0.5848379135131836,0.054451704025268555,0.5628871917724609,3
0.7879219055175781,0.08638262748718262,0.03984498977661133,1.0621755123138428,4
0.5883450508117676,1.1059300899505615,0.04605722427368164,1.0664942264556885,5
1.867354393005371,1.1341357231140137,0.048001766204833984,0.5591583251953125,6
0.5544230937957764,1.1013729572296143,0.008611440658569336,1.0655860900878906,7
2.260977268218994,0.6050653457641602,0.008458137512207031,1.5680301189422607,8
0.09207391738891602,0.586057186126709,0.04883599281311035,0.5528843402862549,9
0.3531913757324219,0.5940349102020264,0.007254600524902344,0.5483853816986084,10
0.5586714744567871,0.5800609588623047,0.03928112983703613,0.5417063236236572,11
1.1739370822906494,1.0965790748596191,0.006460905075073242,0.5498788356781006,12
1.428706407546997,0.6083710193634033,0.00543212890625,1.045048475265503,13
0.15722417831420898,0.08749866485595703,0.03633737564086914,0.5489428043365479,14
0.2698044776916504,0.5999670028686523,0.008025646209716797,0.553093671798706,15
2.2695305347442627,3.145875930786133,0.04722094535827637,2.5758469104766846,16
2.5509531497955322,0.5799481868743896,0.014809131622314453,2.0769758224487305,17
4.3191468715667725,3.15745210647583,0.05855369567871094,1.5777833461761475,18
4.205122709274292,1.6222572326660156,0.009518861770629883,1.0581841468811035,19
1.5928905010223389,1.0920500755310059,0.04270458221435547,0.5476324558258057,20
0.16052579879760742,2.63142728805542,0.004883527755737305,1.55580735206604,21
1.1261017322540283,0.5835390090942383,0.008059263229370117,0.5543019771575928,22
0.15665864944458008,0.5859198570251465,0.00803065299987793,0.5584912300109863,23
0.1483163833618164,1.1111598014831543,0.00878286361694336,1.0574915409088135,24
1.1561601161956787,0.61358642578125,0.06848955154418945,0.5737459659576416,25
0.7778899669647217,0.6176602840423584,0.04366564750671387,1.5636043548583984,26
0.6262252330780029,0.6095242500305176,0.04742240905761719,0.560230016708374,27
0.5654816627502441,0.5858263969421387,0.04211068153381348,0.5467789173126221,28
0.1318349838256836,0.5950796604156494,0.007863998413085938,0.5541548728942871,29
1.3437204360961914,1.6283860206604004,0.05161404609680176,1.0786421298980713,30
2.6664927005767822,1.6408264636993408,0.053965091705322266,2.0864784717559814,31
1.1432156562805176,0.08742833137512207,0.04676699638366699,1.0749077796936035,32
1.3937053680419922,0.5895700454711914,0.007731437683105469,1.5643846988677979,33
2.9000518321990967,2.158524990081787,0.04968667030334473,2.082218885421753,34
1.5037829875946045,0.5945403575897217,0.008706808090209961,1.5715343952178955,35
1.2201128005981445,2.1876883506774902,0.008214473724365234,2.0777413845062256,36
2.126336097717285,1.1228654384613037,0.008285284042358398,0.5575664043426514,37
0.1979827880859375,1.1216449737548828,0.008349418640136719,0.5581178665161133,38
1.3584942817687988,1.0991902351379395,0.008384466171264648,1.0606119632720947,39
0.9840106964111328,0.5874443054199219,0.05818939208984375,2.0694682598114014,40
1.024137020111084,1.1097900867462158,0.00692439079284668,0.5496187210083008,41
0.13636040687561035,0.577378511428833,0.03380393981933594,0.5409173965454102,42
0.10302352905273438,0.5881011486053467,0.008438348770141602,1.5715341567993164,43
3.2494094371795654,1.103757619857788,0.050644874572753906,0.5601191520690918,44
0.5220282077789307,0.6058981418609619,0.00840449333190918,1.0622634887695312,45
0.12684416770935059,0.6026108264923096,0.008277416229248047,1.061629295349121,46
2.7218589782714844,1.6039981842041016,0.04470539093017578,0.5494163036346436,47
0.22292494773864746,0.5941708087921143,0.04718613624572754,0.5557117462158203,48
1.1236345767974854,1.1127021312713623,0.008136272430419922,1.5711073875427246,49
1.470719575881958,1.1113271713256836,0.005414009094238281,1.0380144119262695,50
